# Tab-separated: start	end	mode	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# end=0 means "unknown — last function in source file".
0x080044EC	0x0800451B	thumb	BounceUpdate
0x0800451C	0x08004541	thumb	sub_0800451C
0x08004542	0x0800455D	thumb	sub_08004542
0x0800455E	0x08004595	thumb	ResetCollisionLayer
0x08004596	0x080045B3	thumb	sub_08004596
0x080045B4	0x080045C3	thumb	sub_080045B4
0x080045C4	0x080045D3	thumb	GetFacingDirection
0x080045D4	0x080045D9	thumb	CalculateDirectionTo
0x080045DA	0x00000000	thumb	CalculateDirectionFromOffsets
0x08007DD6	0x08007DDF	thumb	FindValueForKey
0x08007DE0	0x00000000	thumb	FindEntryForKey
0x0800857C	0x080085AF	thumb	sub_0800857C
0x080085B0	0x080085CB	thumb	sub_080085B0
0x080085CC	0x080086B3	thumb	sub_080085CC
0x080086B4	0x080086D7	thumb	sub_080086B4
0x080086D8	0x08008759	thumb	sub_080086D8
0x0800875A	0x08008781	thumb	DoItemTileInteraction
0x08008782	0x0800878F	thumb	DoTileInteractionOffset
0x08008790	0x08008795	thumb	DoTileInteractionHere
0x08008796	0x08008925	thumb	DoTileInteraction
0x08008926	0x0800892D	thumb	sub_08008926
0x0800892E	0x08008941	thumb	UpdateIcePlayerVelocity
0x08008942	0x08008A19	thumb	sub_08008942
0x08008A1A	0x08008A45	thumb	sub_08008A1A
0x08008A46	0x08008A87	thumb	AddPlayerVelocity
0x08008A88	0x08008A9F	thumb	ClampPlayerVelocity
0x08008AA0	0x08008AC5	thumb	sub_08008AA0
0x08008AC6	0x08008AED	thumb	sub_08008AC6
0x08008AEE	0x08008B01	thumb	GetNonCollidedSide
0x08008B02	0x08008B21	thumb	CheckNEastTile
0x08008B22	0x00000000	thumb	PlayerCheckNEastTile
0x08016A04	0x00000000	thumb	UpdateSpriteForCollisionLayer
0x08016AE4	0x00000000	thumb	ProjectileUpdate
0x080AF310	0x080AF313	thumb	umul3232H32
0x080AF314	0x080AF31F	arm	sub_080AF314
0x080AF320	0x080AF3A3	thumb	SoundMain
0x080AF3A4	0x080AF3AF	thumb	SoundMainRAM
0x080AF3B0	0x080AF3EF	arm	sub_080AF3B0
0x080AF3F0	0x080AF40D	thumb	sub_080AF3F0
0x080AF40E	0x080AF513	thumb	sub_080AF40E
0x080AF514	0x080AF6AF	arm	sub_080AF514
0x080AF6B0	0x080AF6CD	thumb	sub_080AF6B0
0x080AF6CE	0x080AF6D3	thumb	sub_080AF6CE
0x080AF6D4	0x080AF6EB	thumb	SoundMainBTM
0x080AF6EC	0x080AF70B	thumb	RealClearChain
0x080AF70C	0x080AF743	thumb	ply_fine
0x080AF744	0x080AF75B	thumb	MPlayJumpTableCopy
0x080AF75C	0x080AF777	thumb	sub_080AF75C
0x080AF778	0x080AF779	thumb	sub_080AF778
0x080AF77A	0x080AF7A3	thumb	sub_080AF77A
0x080AF7A4	0x080AF7BF	thumb	ply_patt
0x080AF7C0	0x080AF7D3	thumb	ply_pend
0x080AF7D4	0x080AF803	thumb	ply_rept
0x080AF804	0x080AF80F	thumb	ply_prio
0x080AF810	0x080AF823	thumb	ply_tempo
0x080AF824	0x080AF837	thumb	ply_keysh
0x080AF838	0x080AF867	thumb	ply_voice
0x080AF868	0x080AF87B	thumb	ply_vol
0x080AF87C	0x080AF88F	thumb	ply_pan
0x080AF890	0x080AF8A3	thumb	ply_bend
0x080AF8A4	0x080AF8B7	thumb	ply_bendr
0x080AF8B8	0x080AF8C3	thumb	ply_lfodl
