# Tab-separated: addr	mode	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# Source: zeldaret/tmc asm/**/*.s (thumb_func_start /
#         arm_func_start / non_word_aligned_thumb_func_start)
0x08008796	thumb	DoTileInteraction
0x08008926	thumb	sub_08008926
0x0800892E	thumb	UpdateIcePlayerVelocity
0x08008942	thumb	sub_08008942
0x08008A1A	thumb	sub_08008A1A
0x08008A46	thumb	AddPlayerVelocity
0x08008A88	thumb	ClampPlayerVelocity
0x08008AA0	thumb	sub_08008AA0
0x08008AC6	thumb	sub_08008AC6
0x08008AEE	thumb	GetNonCollidedSide
0x08008B02	thumb	CheckNEastTile
0x08008B22	thumb	PlayerCheckNEastTile
0x08016A04	thumb	UpdateSpriteForCollisionLayer
0x08016AE4	thumb	ProjectileUpdate
0x08016B30	thumb	DummyIntr
0x08016B34	thumb	EnableVBlankIntr
0x08016B6C	thumb	VBlankIntr
0x08016BDC	thumb	HBlankIntr
0x08016BF8	thumb	PerformVBlankDMA
0x08016C3C	thumb	UpdateDisplayControls
0x08016CA8	thumb	sub_08016CA8
0x08016CF4	thumb	DispCtrlSet
0x08016DF8	thumb	LoadResources
0x08016E78	thumb	WaitForNextFrame
0x08016F28	thumb	PlayerUpdate
0x08016FF4	thumb	interrupts_HandlePlayerLife
0x080171F0	thumb	sub_080171F0
0x08017338	thumb	ItemUpdate
0x080173A4	thumb	ItemInit
0x080174A4	thumb	ObjectUpdate
0x08017508	thumb	ManagerUpdate
0x08017530	thumb	NPCUpdate
0x080175E8	thumb	ClearHitboxList
0x080175F4	thumb	CollisionMain
0x08017640	thumb	RegisterPlayerHitbox
0x0801766C	thumb	sub_0801766C
0x080176E4	thumb	sub_080176E4
0x08017744	thumb	sub_08017744
0x080177A0	thumb	IsColliding
0x08017850	thumb	IsCollidingPlayer
0x08017874	thumb	CalculateDamage
0x08017940	thumb	sub_08017940
0x080179EC	thumb	sub_080179EC
0x08017A90	thumb	sub_08017A90
0x08017AD8	thumb	CollisionNoOp
0x08017ADC	thumb	CollisionGroundItem
0x08017B1C	thumb	sub_08017B1C
0x08017B58	thumb	sub_08017B58
0x08017BBC	thumb	sub_08017BBC
0x08017C40	thumb	sub_08017C40
0x08017CBC	thumb	sub_08017CBC
0x08017D28	thumb	sub_08017D28
0x08017D6C	thumb	sub_08017D6C
0x08017DD4	thumb	sub_08017DD4
0x08017E88	thumb	sub_08017E88
0x08017EB0	thumb	sub_08017EB0
0x08017F3C	thumb	sub_08017F3C
0x08017F40	thumb	sub_08017F40
0x0801802C	thumb	sub_0801802C
0x080180BC	thumb	sub_080180BC
0x080180E8	thumb	sub_080180E8
0x08018168	thumb	sub_08018168
0x08018228	thumb	sub_08018228
0x08018250	thumb	sub_08018250
0x08018288	thumb	CollisionMazaalShrinkRay
0x080182A8	thumb	sub_080182A8
0x08018308	thumb	CollisionDefault
0x08018500	thumb	sub_08018500
0x0801855C	thumb	sub_0801855C
0x080185B4	thumb	sub_080185B4
0x080185F8	thumb	sub_080185F8
0x0801862C	thumb	GenerateAreaHint
0x08018690	thumb	ShuffleEzloHints
0x080186C0	thumb	SetNextAreaHint
0x080186D4	thumb	sub_080186D4
0x080186EC	thumb	sub_080186EC
0x08018710	thumb	sub_08018710
0x08018738	thumb	sub_08018738
0x0801876C	thumb	sub_0801876C
0x080189EC	thumb	sub_080189EC
0x08018A58	thumb	sub_08018A58
0x08018AB4	thumb	sub_08018AB4
0x08018B10	thumb	sub_08018B10
0x08018B50	thumb	sub_08018B50
0x08018BB4	thumb	sub_08018BB4
0x08018C1C	thumb	CreateMinishEntrance
0x08018C58	thumb	sub_08018C58
0x08018C88	thumb	PlayerItemGustBig
0x08018CBC	thumb	PlayerItemGustBig_Init
0x08018DE8	thumb	PlayerItemGustBig_Action1
0x08018E68	thumb	PlayerItemGustBig_Action2
0x08018F6C	thumb	PlayerItemGustBig_Action3
0x08018FA0	thumb	sub_08018FA0
0x08018FCC	thumb	PlayerItemBow
0x08018FE4	thumb	PlayerItemBow_Init
0x0801917C	thumb	PlayerItemBow_Action1
