# Tab-separated: addr	region	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# Source: zeldaret/tmc linker.ld inside-MEMORY symbol lines.
0x030058A0	iwram	ram_GetCollisionDataAtRoomCoords
0x030058B0	iwram	ram_GetCollisionDataAtRoomTile
0x030058B8	iwram	ram_GetCollisionDataAtTilePos
0x030058C8	iwram	ram_GetActTileForTileType
0x030058DC	iwram	ram_sub_080B1B68
0x030058F8	iwram	ram_sub_080B1B84
0x03005918	iwram	ram_sub_080B1BA4
0x030059F0	iwram	ram_CollideAll
0x03005CA4	iwram	ram_sub_080B1F30
0x03005CD0	iwram	ram_sub_080B1F5C
0x03005CFC	iwram	ram_sub_080B1F88
0x03005D18	iwram	ram_sub_080B1FA4
0x03005D24	iwram	ram_sub_080B1FB0
0x03005D58	iwram	ram_sub_080B1FE4
0x03005D5C	iwram	ram_sub_080B1FE8
0x03005D90	iwram	ram_IntrMain
0x03005E60	iwram	ram_CheckBits
0x03005E98	iwram	ram_MakeFadeBuff256
0x03005F24	iwram	ram_ClearAndUpdateEntities
0x03005F40	iwram	ram_UpdateEntities
0x03005FBC	iwram	ram_sub_080B2248
0x03005FF0	iwram	ram_sub_080B227C
0x030060F0	iwram	ram_CalcCollisionDirection
0x03006164	iwram	ram_DrawEntities
0x03006580	iwram	ram_DrawDirect
0x0300659C	iwram	ram_sub_080ADA04
0x030067E4	iwram	ram_gUnk_080B2A70
0x030068CC	iwram	ram_0x80b2b58
0x0300694C	iwram	ram_0x80b2bd8
0x0300695C	iwram	ram_0x80b2be8
0x03007F00	iwram	usr_stack_begin
0x03007FA0	iwram	irq_stack_begin
0x03007FFA	iwram	soft_reset_flag
